code_voie;no_voie;code_id_commune;voie;code_departement;commune;type_de_voie;code_postal
1690;32;81;VICTOR HUGO;4;DIGNE-LES-BAINS;BD;4000.0
B073;5081;79;LE SUPERSAUZE;4;ENCHASTRAYES;;4400.0
B033;26;92;LE PONT;4;SAINT-MARTIN-DE-BROMES;;4800.0
B081;7178;83;PONT DE LABRAU;4;ALLOS;;4260.0
21;2;93;DE CARUPE;4;PEIPIN;IMP;4200.0
B081;7153;91;LES HAUTES PLAINES;4;GREOUX-LES-BAINS;;4800.0
A008;5112;79;LES MARGUERITES;4;ENCHASTRAYES;RES;4400.0
1001;4;81;DE LA MAIRIE;4;DIGNE-LES-BAINS;PL;4000.0
B073;5230;79;LE SUPERSAUZE;4;ENCHASTRAYES;;4400.0
B081;7153;91;LES HAUTES PLAINES;4;GREOUX-LES-BAINS;;4800.0
75;6;94;ANCIENNE RTE D FORCALQUIER;4;VOLX;;4130.0
B007;7096;95;BEAUDINE;4;FORCALQUIER;;4300.0
1360;3;77;DE LA REPUBLIQUE;4;SISTERON;PL;4200.0
420;53;77;DELEUZE;4;SISTERON;RUE;4200.0
B023;7023;96;GRANDE MONTAGNE;4;SELONNET;;4140.0
B009;7052;83;LES AUCHES;4;ALLOS;;4260.0
82;181;97;DES AVETTES;4;MANOSQUE;ALL;4100.0
700;5;95;MARCEL ANDRE;4;FORCALQUIER;AV;4300.0
B063;7218;83;LACHAUD ET CHAUVET;4;ALLOS;;4260.0
103;320;97;DU DCT BERNARD FOUSSIER;4;MANOSQUE;AV;4100.0
60;6;90;ANDRE HONNORAT;4;BARCELONNETTE;RUE;4400.0
330;155;95;DOC CASIMIR CAIRE;4;FORCALQUIER;RUE;4300.0
265;5637;91;DES THERMES;4;GREOUX-LES-BAINS;AV;4800.0
B029;7054;83;LA CHAPELLE;4;ALLOS;;4260.0
230;3;78;TANNERIE;4;RIEZ;RUE;4500.0
1220;118;77;POTERIE;4;SISTERON;RUE;4200.0
265;1;95;DES CORDELIERS;4;FORCALQUIER;REM;4300.0
A023;9002;97;LES LAVANDES;4;MANOSQUE;;4100.0
A029;;98;LES MARMOTTES BLEUES;4;UVERNET-FOURS;RES;4400.0
B117;5038;99;LE VILLAGE;4;NOYERS-SUR-JABRON;;4200.0
570;9;77;FONT CHAUDE;4;SISTERON;RUE;4200.0
B083;7089;87;SAINT PIERRE;4;SEYNE;;4140.0
2;5154;100;DE LA FERRAILLE;4;PIERRERUE;RUE;4300.0
B110;7215;83;LA SESTRIERE;4;ALLOS;;4260.0
520;3;81;DES EAUX CHAUDES;4;DIGNE-LES-BAINS;TRA;4000.0
335;1;101;JULES BOURDIN;4;ORAISON;RUE;4700.0
265;5637;91;DES THERMES;4;GREOUX-LES-BAINS;AV;4800.0
855;14;97;DE PROVENCE;4;MANOSQUE;ALL;4100.0
250;5028;91;DE STE ANNETTE;4;GREOUX-LES-BAINS;CHE;4800.0
810;36;81;HENRI JAUBERT;4;DIGNE-LES-BAINS;AV;4000.0
265;117;91;DES THERMES;4;GREOUX-LES-BAINS;AV;4800.0
A031;9001;97;JEANNE D ARC;4;MANOSQUE;RES;4100.0
720;20;95;MARIUS DEBOUT;4;FORCALQUIER;RUE;4300.0
B081;7224;91;LES HAUTES PLAINES;4;GREOUX-LES-BAINS;;4800.0
A050;;98;PRA CHAUVET;4;UVERNET-FOURS;RES;4400.0
B001;7009;83;ADRECH DE CHAUVET;4;ALLOS;;4260.0
A045;;98;LES MELEZES;4;UVERNET-FOURS;RES;4400.0
B052;7215;82;STATION DE SAINT JEAN;4;MONTCLAR;;4140.0
B080;7113;87;LES SAGNES;4;SEYNE;;4140.0
B081;7024;91;LES HAUTES PLAINES;4;GREOUX-LES-BAINS;;4800.0
B081;7023;91;LES HAUTES PLAINES;4;GREOUX-LES-BAINS;;4800.0
903;3;95;DU FRESQUIE;4;FORCALQUIER;RUE;4300.0
A023;;91;LE CEZANNE;4;GREOUX-LES-BAINS;RES;4800.0
855;20;97;DE PROVENCE;4;MANOSQUE;ALL;4100.0
520;3;81;DES EAUX CHAUDES;4;DIGNE-LES-BAINS;TRA;4000.0
10;7102;102;DU LAC;4;L ESCALE;RTE;4160.0
B161;5038;91;LES VIEUX BAINS;4;GREOUX-LES-BAINS;;4800.0
150;29;84;NATIONALE;4;CASTELLANE;RUE;4120.0
A019;;98;LE CHRISTIANA;4;UVERNET-FOURS;RES;4400.0
